layer1,layer2,actFunc,learning,mse,mae
30,30,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.7285606265068054,0.6755873560905457
50,10,<class 'torch.nn.modules.activation.ReLU'>,0.1,0.7299055457115173,0.6308305263519287
70,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.738601565361023,0.6627862453460693
30,50,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.750164270401001,0.6672887802124023
90,90,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.7514417171478271,0.6396448016166687
90,70,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.75225830078125,0.6681503057479858
70,70,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.7532182335853577,0.6792287230491638
70,50,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.753307044506073,0.6804264187812805
70,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.7564967274665833,0.6432182192802429
70,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.7567402720451355,0.6821677684783936
10,30,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.7570254802703857,0.6616542935371399
90,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.7587671875953674,0.6694459915161133
50,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.7624614834785461,0.6469356417655945
70,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.76270592212677,0.706018328666687
30,10,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.7627928256988525,0.6377605199813843
70,50,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.7631650567054749,0.6940209865570068
70,30,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.7691119909286499,0.6698704361915588
90,90,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.7695726156234741,0.6754997372627258
10,70,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.7707078456878662,0.6974122524261475
50,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.7709128856658936,0.6599299311637878
30,90,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.7713006734848022,0.7095471024513245
70,30,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.7717772126197815,0.6822177767753601
30,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.7719586491584778,0.648909866809845
10,30,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.7721722722053528,0.6687098145484924
50,50,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.7732574343681335,0.6997876763343811
50,70,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.7735336422920227,0.7012959718704224
10,90,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.7791194319725037,0.6897755265235901
10,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.7795946598052979,0.6508803963661194
10,10,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.788126528263092,0.6597787737846375
90,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.7950207591056824,0.6742087006568909
50,50,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.7987496852874756,0.6722230315208435
50,30,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.7989999055862427,0.671412467956543
30,30,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.8023726344108582,0.6666337251663208
30,50,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8071669340133667,0.7239048480987549
10,50,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.8095710277557373,0.6935790181159973
90,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.810039758682251,0.7051833271980286
70,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8153189420700073,0.6571624279022217
10,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8226120471954346,0.733466386795044
50,30,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8277987241744995,0.7334509491920471
90,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8290565609931946,0.6926195025444031
90,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.8319979906082153,0.6726980209350586
50,70,<class 'torch.nn.modules.activation.ReLU'>,0.1,0.8327615857124329,0.6710546612739563
90,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8445640802383423,0.7540357708930969
70,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.8486615419387817,0.686109185218811
90,30,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8487717509269714,0.7507914304733276
70,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8504628539085388,0.7413902878761292
90,50,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8510953187942505,0.7340611815452576
10,50,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8582529425621033,0.6988806128501892
90,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8814336061477661,0.6677995920181274
70,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8819534182548523,0.69429612159729
50,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8839447498321533,0.6865720748901367
50,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8907505869865417,0.7592900395393372
50,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.891104519367218,0.6927721500396729
30,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9007849097251892,0.8044300079345703
90,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.907776653766632,0.7116550207138062
30,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.914355218410492,0.7742292881011963
30,70,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.9210207462310792,0.8190612196922302
50,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9319534301757812,0.731625497341156
30,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.9418047666549684,0.749451220035553
70,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9460505247116088,0.8067666292190552
30,10,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.9538714289665222,0.7132323980331421
90,30,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.9539400339126588,0.714428186416626
90,10,<class 'torch.nn.modules.activation.ReLU'>,0.01,0.9729886651039124,0.7200902700424194
50,10,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9982768893241882,0.7470821738243103
90,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.0009989738464355,0.8172610998153687
50,90,<class 'torch.nn.modules.activation.ReLU'>,0.01,1.0099223852157593,0.85512375831604
70,10,<class 'torch.nn.modules.activation.ReLU'>,0.01,1.0207247734069824,0.7448974847793579
50,10,<class 'torch.nn.modules.activation.ReLU'>,0.01,1.0282557010650637,0.8628108501434326
10,10,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.0362741947174072,0.7579348087310791
90,10,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.0536627769470217,0.8827708959579468
50,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.0539343357086182,0.7674415111541748
50,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.0601168870925903,0.7917631268501282
90,50,<class 'torch.nn.modules.activation.ReLU'>,0.01,1.0644593238830566,0.8818610906600952
50,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.0890052318572998,0.7935636043548584
90,10,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.0902535915374756,0.8282806277275085
50,90,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.1297143697738647,0.8908802270889282
90,50,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.143791437149048,0.9194351434707642
30,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.1835532188415527,0.8590086102485657
90,90,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.2018877267837524,0.9318276643753052
30,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,1.2037432193756104,0.925358235836029
90,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.0001,1.2205874919891355,0.7900278568267822
90,70,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.2306114435195925,0.9405925273895264
30,30,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.2341543436050415,0.906603455543518
90,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.0001,1.2474342584609983,0.9431416988372804
70,90,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.2623028755187988,0.9469419121742249
70,70,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.2958141565322876,0.9357281923294068
50,90,<class 'torch.nn.modules.activation.Tanh'>,0.001,1.3107935190200806,0.9222684502601624
30,70,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.3134151697158811,0.9412147402763368
70,90,<class 'torch.nn.modules.activation.ReLU'>,0.01,1.3199381828308103,0.8706493973731995
90,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.0001,1.325501799583435,0.923571228981018
50,70,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.3255760669708252,0.982721984386444
70,10,<class 'torch.nn.modules.activation.ReLU'>,0.001,1.3300424814224243,0.8848373889923096
90,30,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.3459166288375854,0.9774954915046692
70,50,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.383421778678894,0.9807248711586
10,70,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.3860149383544922,0.9738468527793884
50,50,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.4086207151412964,0.995107114315033
30,90,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.430094838142395,1.0247808694839478
70,10,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.431324481964111,1.0248857736587524
90,10,<class 'torch.nn.modules.activation.ReLU'>,0.0001,1.4725717306137085,1.0364677906036377
70,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.0001,1.4810874462127686,1.005864500999451
90,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.0001,1.48251473903656,0.944055676460266
