layer1,layer2,actFunc,learning,mse,mae
70,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.7359638810157776,0.3893226683139801
110,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.7389172315597534,0.3707991242408752
110,90,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.8144901990890503,0.4769623279571533
110,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8223233222961426,0.4923624992370605
110,90,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.8426019549369812,0.3774873316287994
90,50,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8449762463569641,0.5046205520629883
50,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8602758646011353,0.4074124693870544
50,50,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8628188967704773,0.5519945621490479
70,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8639378547668457,0.4156320691108703
90,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8702590465545654,0.3748608231544494
110,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8703656196594238,0.3775341212749481
110,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.873515248298645,0.4311053156852722
110,110,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.875360906124115,0.5501842498779297
70,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8760310411453247,0.4046922922134399
110,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.8775768280029297,0.5476142168045044
90,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8780335187911987,0.3967286944389343
70,110,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.8862934112548828,0.5624129772186279
70,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.889225423336029,0.4378872811794281
110,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.8916594982147217,0.4829330444335937
110,70,<class 'torch.nn.modules.activation.Tanh'>,0.0001,0.9003145098686218,0.5323700904846191
70,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9010701179504396,0.4603338241577148
110,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.9025965929031372,0.4282841384410858
110,110,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9028567671775818,0.4930785298347473
50,30,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9035803079605104,0.5259499549865723
10,90,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9063225388526917,0.5556201934814453
110,70,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9115596413612366,0.5133106708526611
30,50,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9142496585845948,0.5595906972885132
90,50,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9178301095962524,0.5569954514503479
70,90,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9193800687789916,0.5402946472167969
90,70,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9212143421173096,0.5572950839996338
70,30,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9235045909881592,0.5649580955505371
110,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.9248334169387816,0.4069423079490661
110,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9255032539367676,0.4594522714614868
110,110,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.9327932000160216,0.3985171914100647
110,10,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9366236329078674,0.5981121063232422
90,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.943562388420105,0.4107608795166015
50,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9515214562416076,0.4933254420757293
110,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.0001,0.9522035121917723,0.6118133068084717
30,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9536348581314088,0.6000344753265381
30,110,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.956976056098938,0.5948183536529541
90,110,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9599097967147828,0.5356802940368652
30,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9633750915527344,0.4855563044548034
50,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.968622088432312,0.4690083265304565
70,10,<class 'torch.nn.modules.activation.Tanh'>,0.0001,0.9689401388168336,0.532250165939331
10,90,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9749332666397096,0.6050353050231934
10,110,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9750162959098816,0.6045904159545898
70,50,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.9777112007141112,0.4706456363201141
70,70,<class 'torch.nn.modules.activation.Tanh'>,0.001,0.9801239967346193,0.4243352711200714
90,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.0001,0.980348825454712,0.6347193717956543
110,110,<class 'torch.nn.modules.activation.Tanh'>,0.0001,0.9820008277893066,0.554053783416748
90,70,<class 'torch.nn.modules.activation.ReLU'>,0.001,0.9826784133911132,0.5817091464996338
70,50,<class 'torch.nn.modules.activation.ReLU'>,0.003,0.9848157167434692,0.6078819632530212
90,70,<class 'torch.nn.modules.activation.Tanh'>,0.0001,0.9861657619476318,0.5731831789016724
90,30,<class 'torch.nn.modules.activation.Sigmoid'>,0.001,0.9889916181564332,0.4602311849594116
